Season,TeamName,KaderHome,AvgAgeHome,ForeignPlayersHome,OverallMarketValueHome,AvgMarketValueHome,StadiumCapacity
2011,Fortuna Dusseldorf,29,24,10,20080000,692000,47728
2011,Greuther Furth,28,24,11,19580000,699000,47728
2011,Munich 1860,31,24,8,19500000,629000,47728
2011,Aachen,34,24,11,19400000,571000,47728
2011,Ingolstadt,32,26,10,18250000,570000,47728
2011,Duisburg,30,24,19,17930000,598000,47728
2011,Karlsruhe,38,25,16,16700000,439000,47728
2011,Dresden,31,25,11,16550000,534000,47728
2011,Frankfurt FSV,33,24,17,14850000,450000,47728
2011,Erzgebirge Aue,27,25,3,14000000,519000,47728
2011,Hansa Rostock,29,24,6,11950000,412000,47728
2011,Union Berlin,28,24,8,10800000,386000,47728
2011,Paderborn,26,24,7,10680000,411000,47728
2011,Braunschweig,29,24,6,8180000,282000,47728
2010,Bochum,31,25,11,32200000,1040000,47728
2010,Hertha,31,24,18,30800000,994000,47728
2010,Augsburg,32,25,14,25100000,784000,47728
2010,Greuther Furth,34,23,14,23330000,686000,47728
2010,Bielefeld,44,24,16,21050000,478000,47728
2010,Munich 1860,37,22,13,20930000,566000,47728
2010,Fortuna Dusseldorf,26,26,7,19600000,754000,47728
2010,Karlsruhe,43,24,12,18930000,440000,47728
2010,Aachen,34,24,13,16830000,495000,47728
2010,Cottbus,31,24,13,15880000,512000,47728
2010,Duisburg,29,24,17,15800000,545000,47728
2010,Union Berlin,32,24,10,13500000,422000,47728
2010,Ingolstadt,32,26,9,13000000,406000,47728
2010,Oberhausen,32,25,6,11650000,364000,47728
2010,Frankfurt FSV,28,25,11,11500000,411000,47728
2010,Paderborn,29,24,8,11430000,394000,47728
2010,Osnabruck,28,25,9,10550000,377000,47728
2010,Erzgebirge Aue,29,25,5,10080000,347000,47728
2009,Bielefeld,31,25,15,27380000,883000,47728
2009,Duisburg,35,24,17,25100000,717000,47728
2009,Kaiserslautern,32,23,13,23900000,747000,47728
2009,Cottbus,33,24,15,21800000,661000,47728
2009,Munich 1860,33,24,18,21700000,658000,47728
2009,Augsburg,33,25,13,21330000,646000,47728
2009,Karlsruhe,37,24,9,21100000,570000,47728
2009,Hansa Rostock,31,25,8,20630000,665000,47728
2009,Aachen,32,25,10,20150000,630000,47728
2009,Koblenz,36,25,13,18000000,500000,47728
2009,Greuther Furth,31,24,12,17050000,550000,47728
2009,St Pauli,30,26,4,15750000,525000,47728
2009,Frankfurt FSV,34,26,20,13100000,385000,47728
2009,Ahlen,37,25,14,12930000,349000,47728
2009,Fortuna Dusseldorf,28,26,9,11850000,423000,47728
2009,Paderborn,31,25,6,9580000,309000,47728
2009,Union Berlin,29,25,8,9480000,327000,47728
2009,Oberhausen,29,25,8,8850000,305000,47728
2008,Nurnberg,34,24,14,43530000,1280000,47728
2008,Mainz,29,26,17,26650000,919000,47728
2008,Duisburg,35,25,17,25000000,714000,47728
2008,Munich 1860,35,24,12,21100000,603000,47728
2008,Freiburg,27,24,15,20900000,774000,47728
2008,Hansa Rostock,30,24,13,19800000,660000,47728
2008,Kaiserslautern,33,23,12,18750000,568000,47728
2008,Augsburg,30,26,9,18450000,615000,47728
2008,Greuther Furth,28,25,10,16550000,591000,47728
2008,Aachen,25,26,7,16380000,655000,47728
2008,Wehen,33,25,13,14200000,430000,47728
2008,Koblenz,36,25,17,13530000,376000,47728
2008,Osnabruck,29,25,6,13030000,449000,47728
2008,St Pauli,31,25,7,12230000,394000,47728
2008,Frankfurt FSV,32,27,12,9330000,291000,47728
2008,Ingolstadt,29,26,5,6050000,209000,47728
2008,Ahlen,26,26,3,5980000,230000,47728
2008,Oberhausen,27,26,5,5730000,212000,47728
2007,M'gladbach,29,25,13,27950000,964000,47728
2007,FC Koln,28,26,15,27380000,978000,47728
2007,Mainz,29,25,18,24580000,847000,47728
2007,Aachen,27,26,9,24400000,904000,47728
2007,Kaiserslautern,32,23,16,21180000,662000,47728
2007,Freiburg,33,23,20,18080000,548000,47728
2007,Augsburg,29,26,10,16850000,581000,47728
2007,Erzgebirge Aue,30,26,11,14500000,483000,47728
2007,Koblenz,29,26,17,14430000,497000,47728
2007,Paderborn,35,26,10,14330000,409000,47728
2007,CZ Jena,33,24,15,14080000,427000,47728
2007,Offenbach,27,26,10,12950000,480000,47728
2007,Munich 1860,29,23,11,12430000,428000,47728
2007,Greuther Furth,27,23,9,11850000,439000,47728
2007,Hoffenheim,32,24,13,10350000,323000,47728
2007,Wehen,28,26,12,10200000,364000,47728
2007,St Pauli,29,25,9,6950000,240000,47728
2007,Osnabruck,30,26,4,6380000,213000,47728
2006,FC Koln,34,24,19,29080000,855000,47728
2006,Kaiserslautern,32,23,16,24650000,770000,47728
2006,Duisburg,29,26,8,20150000,695000,47728
2006,Freiburg,29,24,17,19450000,671000,47728
2006,Karlsruhe,26,24,9,15330000,589000,47728
2006,Hansa Rostock,28,25,7,14550000,520000,47728
2006,Greuther Furth,29,24,14,12780000,441000,47728
2006,CZ Jena,37,25,11,12380000,334000,47728
2006,Munich 1860,26,24,11,11550000,444000,47728
2006,RW Essen,27,26,11,11050000,409000,47728
2006,Burghausen,28,25,13,11030000,394000,47728
2006,Erzgebirge Aue,26,27,11,10900000,419000,47728
2006,Offenbach,30,27,9,10530000,351000,47728
2006,Paderborn,28,25,12,10450000,373000,47728
2006,Unterhaching,31,26,12,9680000,312000,47728
2006,Braunschweig,38,26,14,9550000,251000,47728
2006,Augsburg,25,27,7,9100000,364000,47728
2006,Koblenz,28,26,11,8290000,296000,47728
2005,Munich 1860,31,25,15,22480000,725000,47728
2005,Bochum,31,25,16,17830000,575000,47728
2005,Hansa Rostock,31,25,12,15800000,510000,47728
2005,Freiburg,25,24,14,15150000,606000,47728
2005,Aachen,25,27,6,11690000,467000,47728
2005,Dresden,33,26,13,10750000,326000,47728
2005,Karlsruhe,27,25,7,10000000,370000,47728
2005,Greuther Furth,30,25,14,9900000,330000,47728
2005,Saarbrucken,31,26,15,8580000,277000,47728
2005,Ahlen,24,28,9,8580000,357000,47728
2005,Cottbus,26,25,12,8550000,329000,47728
2005,Erzgebirge Aue,25,27,8,8380000,335000,47728
2005,Burghausen,28,25,9,7550000,270000,47728
2005,Paderborn,33,24,13,7530000,228000,47728
2005,Unterhaching,28,26,9,7030000,251000,47728
2005,Offenbach,28,26,13,6280000,224000,47728
2005,Siegen,29,26,13,6180000,213000,47728
2005,Braunschweig,25,25,3,4150000,166000,47728
